ID,Name,Genre,Cast,Age
88,Avatar,Action|Adventure|Fantasy,Sam Worthington| Zoe Saldana| Sigourney Weaver| Michelle Rodriguez,18+
89,The Hateful Eight,Crime|Drama|Mystery,Samuel L. Jackson| Kurt Russell| Jennifer Jason Leigh| Walton Goggins,10+
90,The Accountant,Action|Crime|Drama,Ben Affleck| Anna Kendrick| J.K. Simmons| Jon Bernthal,13+
91,Prisoners,Crime|Drama|Mystery,Hugh Jackman| Jake Gyllenhaal| Viola Davis|Melissa Leo,18+
92,Warcraft,Action|Adventure|Fantasy,Travis Fimmel| Paula Patton| Ben Foster| Dominic Cooper,13+
93,The Help,Drama,Emma Stone| Viola Davis| Octavia Spencer| Bryce Dallas Howard,13+
94,War Dogs,Comedy|Crime|Drama,Jonah Hill| Miles Teller| Steve Lantz| Gregg Weiner,10+
95,Avengers: Age of Ultron,Action|Adventure|Sci-Fi,Robert Downey Jr.| Chris Evans| Mark Ruffalo| Chris Hemsworth,13+
96,The Nice Guys,Action|Comedy|Crime,Russell Crowe| Ryan Gosling| Angourie Rice| Matt Bomer,13+
97,Kimi no na wa,Animation|Drama|Fantasy,Ryûnosuke Kamiki| Mone Kamishiraishi| Ryô Narita| Aoi Yuki,13+
98,The Void,Horror|Mystery|Sci-Fi,Aaron Poole| Kenneth Welsh|Daniel Fathers| Kathleen Munroe,10+
99,Personal Shopper,Drama|Mystery|Thriller,Kristen Stewart| Lars Eidinger| Sigrid Bouaziz|Anders Danielsen Lie,13+
100,The Departed,Crime|Drama|Thriller,Leonardo DiCaprio| Matt Damon| Jack Nicholson| Mark Wahlberg,13+
101,Legend,Biography|Crime|Drama,Tom Hardy| Emily Browning| Taron Egerton| Paul Anderson,13+
102,Thor,Action|Adventure|Fantasy,Chris Hemsworth| Anthony Hopkins| Natalie Portman| Tom Hiddleston,13+
103,The Martian,Adventure|Drama|Sci-Fi,Matt Damon| Jessica Chastain| Kristen Wiig| Kate Mara,13+
104,Contratiempo,Crime|Mystery|Thriller,Mario Casas| Ana Wagener| José Coronado| Bárbara Lennie,13+
105,The Man from U.N.C.L.E.,Action|Adventure|Comedy,Henry Cavill| Armie Hammer| Alicia Vikander| Elizabeth Debicki,13+
106,Hell or High Water,Crime|Drama|Thriller,Chris Pine| Ben Foster| Jeff Bridges| Gil Birmingham,13+
107,The Comedian,Comedy,Robert De Niro| Leslie Mann| Danny DeVito| Edie Falco,13+
108,The Legend of Tarzan,Action|Adventure|Drama,Alexander Skarsgård| Rory J. Saper| Christian Stevens| Christoph Waltz,13+
109,All We Had,Drama,Eve Lindley| Richard Kind| Mark Consuelos| Katherine Reis,13+
110,Ex Machina,Drama|Mystery|Sci-Fi,Alicia Vikander| Domhnall Gleeson| Oscar Isaac|Sonoya Mizuno,13+
111,The Belko Experiment,Action|Horror|Thriller,John Gallagher Jr.| Tony Goldwyn| Adria Arjona| John C. McGinley,13+
112,12 Years a Slave,Biography|Drama|History,Chiwetel Ejiofor| Michael Kenneth Williams| Michael Fassbender| Brad Pitt,18+
113,The Bad Batch,Romance|Sci-Fi,Keanu Reeves| Jason Momoa| Jim Carrey| Diego Luna,13+
114,300,Action|Fantasy|War,Gerard Butler| Lena Headey| David Wenham| Dominic West,10+
115,Harry Potter and the Deathly Hallows: Part 2,Adventure|Drama|Fantasy,Daniel Radcliffe| Emma Watson| Rupert Grint| Michael Gambon,10+
116,Office Christmas Party,Comedy,Jason Bateman| Olivia Munn| T.J. Miller|Jennifer Aniston,13+
117,The Neon Demon,Horror|Thriller,Elle Fanning| Christina Hendricks| Keanu Reeves| Karl Glusman,13+
118,Dangal,Action|Biography|Drama,Aamir Khan| Sakshi Tanwar| Fatima Sana Shaikh|Sanya Malhotra,13+
119,10 Cloverfield Lane,Drama|Horror|Mystery,John Goodman| Mary Elizabeth Winstead| John Gallagher Jr.| Douglas M. Griffin,13+
120,Finding Dory,Animation|Adventure|Comedy,Ellen DeGeneres| Albert Brooks|Ed O'Neill| Kaitlin Olson,13+
121,Miss Peregrine's Home for Peculiar Children,Adventure|Drama|Family,Eva Green| Asa Butterfield| Samuel L. Jackson| Judi Dench,13+
122,Divergent,Adventure|Mystery|Sci-Fi,Shailene Woodley| Theo James| Kate Winslet| Jai Courtney,13+
123,Mike and Dave Need Wedding Dates,Adventure|Comedy|Romance,Zac Efron| Adam Devine| Anna Kendrick| Aubrey Plaza,13+
124,Boyka: Undisputed IV,Action,Scott Adkins| Teodora Duhovnikova| Alon Aboutboul| Julian Vergov,13+
125,The Dark Knight Rises,Action|Thriller,Christian Bale| Tom Hardy| Anne Hathaway|Gary Oldman,13+
126,The Jungle Book,Adventure|Drama|Family,Neel Sethi| Bill Murray| Ben Kingsley| Idris Elba,13+
127,Transformers: Age of Extinction,Action|Adventure|Sci-Fi,Mark Wahlberg| Nicola Peltz| Jack Reynor| Stanley Tucci,13+
128,Nerve,Adventure|Crime|Mystery,Emma Roberts| Dave Franco| Emily Meade| Miles Heizer,13+
129,Mamma Mia!,Comedy|Family|Musical,Meryl Streep| Pierce Brosnan| Amanda Seyfried|Stellan Skarsgård,13+
130,The Revenant,Adventure|Drama|Thriller,Leonardo DiCaprio| Tom Hardy| Will Poulter| Domhnall Gleeson,13+
131,Fences,Drama,Denzel Washington| Viola Davis| Stephen Henderson| Jovan Adepo,13+
132,Into the Woods,Adventure|Comedy|Drama,Anna Kendrick| Meryl Streep| Chris Pine| Emily Blunt,18+
133,The Shallows,Drama|Horror|Thriller,Blake Lively| Óscar Jaenada| Angelo Josue Lozano Corzo| Brett Cullen,13+
134,Whiplash,Drama|Music,Miles Teller| J.K. Simmons| Melissa Benoist| Paul Reiser,13+
135,Furious 6,Action|Crime|Thriller,Vin Diesel| Paul Walker| Dwayne Johnson| Michelle Rodriguez,13+
136,The Place Beyond the Pines,Crime|Drama|Thriller,Ryan Gosling| Bradley Cooper| Eva Mendes|Craig Van Hook,13+
137,No Country for Old Men,Crime|Drama|Thriller,Tommy Lee Jones| Javier Bardem| Josh Brolin| Woody Harrelson,18+
138,The Great Gatsby,Drama|Romance,Leonardo DiCaprio| Carey Mulligan| Joel Edgerton|Tobey Maguire,10+
139,Shutter Island,Mystery|Thriller,Leonardo DiCaprio| Emily Mortimer| Mark Ruffalo|Ben Kingsley,10+
140,Brimstone,Mystery|Thriller|Western,Dakota Fanning| Guy Pearce| Kit Harington|Carice van Houten,18+
141,Star Trek,Action|Adventure|Sci-Fi,Chris Pine| Zachary Quinto| Simon Pegg| Leonard Nimoy,18+
142,Diary of a Wimpy Kid,Comedy|Family,Zachary Gordon| Robert Capron| Rachael Harris|Steve Zahn,13+
143,The Big Short,Biography|Comedy|Drama,Christian Bale| Steve Carell| Ryan Gosling| Brad Pitt,13+
144,Room,Drama,Brie Larson| Jacob Tremblay| Sean Bridgers|Wendy Crewson,13+
145,Django Unchained,Drama|Western,Jamie Foxx| Christoph Waltz| Leonardo DiCaprio|Kerry Washington,13+
146,Ah-ga-ssi,Drama|Mystery|Romance,Min-hee Kim| Jung-woo Ha| Jin-woong Jo| So-ri Moon,13+
147,The Edge of Seventeen,Comedy|Drama,Hailee Steinfeld| Haley Lu Richardson| Blake Jenner| Kyra Sedgwick,13+
148,Watchmen,Action|Drama|Mystery,Jackie Earle Haley| Patrick Wilson| Carla Gugino|Malin Akerman,13+
149,Superbad,Comedy,Michael Cera| Jonah Hill| Christopher Mintz-Plasse| Bill Hader,13+
150,Inferno,Action|Adventure|Crime,Tom Hanks| Felicity Jones| Irrfan Khan| Ben Foster,13+
151,The BFG,Adventure|Family|Fantasy,Mark Rylance| Ruby Barnhill| Penelope Wilton|Jemaine Clement,18+
152,The Hunger Games,Adventure|Sci-Fi|Thriller,Jennifer Lawrence| Josh Hutcherson| Liam Hemsworth|Stanley Tucci,13+
153,White Girl,Drama,Morgan Saylor| Brian Marc| Justin Bartha| Adrian Martinez,13+
154,Sicario,Action|Crime|Drama,Emily Blunt| Josh Brolin| Benicio Del Toro| Jon Bernthal,13+
155,Twin Peaks: The Missing Pieces,Drama|Horror|Mystery,Chris Isaak| Kiefer Sutherland| C.H. Evans| Sandra Kinder,13+
156,Aliens vs Predator - Requiem,Action|Horror|Sci-Fi,Reiko Aylesworth| Steven Pasquale|Shareeka Epps| John Ortiz,13+
157,Pacific Rim,Action|Adventure|Sci-Fi,Idris Elba| Charlie Hunnam| Rinko Kikuchi|Charlie Day,18+
158,"Crazy, Stupid, Love.",Comedy|Drama|Romance,Steve Carell| Ryan Gosling| Julianne Moore| Emma Stone,13+
159,Scott Pilgrim vs. the World,Action|Comedy|Fantasy,Michael Cera| Mary Elizabeth Winstead| Kieran Culkin| Alison Pill,18+
160,Hot Fuzz,Action|Comedy|Mystery,Simon Pegg| Nick Frost| Martin Freeman| Bill Nighy,13+
161,Mine,Thriller|War,Armie Hammer| Annabelle Wallis|Tom Cullen| Clint Dyer,13+
162,Free Fire,Action|Comedy|Crime,Sharlto Copley| Brie Larson| Armie Hammer| Cillian Murphy,13+
163,X-Men: Days of Future Past,Action|Adventure|Sci-Fi,Patrick Stewart| Ian McKellen| Hugh Jackman| James McAvoy,13+
164,Jack Reacher: Never Go Back,Action|Adventure|Crime,Tom Cruise| Cobie Smulders| Aldis Hodge| Robert Knepper,13+
165,Casino Royale,Action|Adventure|Thriller,Daniel Craig| Eva Green| Judi Dench| Jeffrey Wright,18+
166,Twilight,Drama|Fantasy|Romance,Kristen Stewart| Robert Pattinson| Billy Burke|Sarah Clarke,18+
167,Now You See Me 2,Action|Adventure|Comedy,Jesse Eisenberg| Mark Ruffalo| Woody Harrelson| Dave Franco,10+
168,Woman in Gold,Biography|Drama|History,Helen Mirren| Ryan Reynolds| Daniel Brühl| Katie Holmes,13+
169,13 Hours,Action|Drama|History,John Krasinski| Pablo Schreiber| James Badge Dale|David Denman,13+
170,Spectre,Action|Adventure|Thriller,Daniel Craig| Christoph Waltz| Léa Seydoux| Ralph Fiennes,13+
171,Nightcrawler,Crime|Drama|Thriller,Jake Gyllenhaal| Rene Russo| Bill Paxton| Riz Ahmed,13+
172,Kubo and the Two Strings,Animation|Adventure|Family,Charlize Theron| Art Parkinson| Matthew McConaughey| Ralph Fiennes,18+
173,Beyond the Gates,Adventure|Horror,Graham Skipper| Chase Williamson| Brea Grant|Barbara Crampton,13+
174,Her,Drama|Romance|Sci-Fi,Joaquin Phoenix| Amy Adams| Scarlett Johansson|Rooney Mara,13+
175,Frozen,Animation|Adventure|Comedy,Kristen Bell| Idina Menzel| Jonathan Groff| Josh Gad,13+
176,Tomorrowland,Action|Adventure|Family,George Clooney| Britt Robertson| Hugh Laurie| Raffey Cassidy,13+
177,Dawn of the Planet of the Apes,Action|Adventure|Drama,Gary Oldman| Keri Russell| Andy Serkis| Kodi Smit-McPhee,13+
178,Tropic Thunder,Action|Comedy,Ben Stiller| Jack Black| Robert Downey Jr.| Jeff Kahn,13+
179,The Conjuring 2,Horror|Mystery|Thriller,Vera Farmiga| Patrick Wilson| Madison Wolfe| Frances O'Connor,13+
180,Ant-Man,Action|Adventure|Comedy,Paul Rudd| Michael Douglas| Corey Stoll| Evangeline Lilly,13+
181,Bridget Jones's Baby,Comedy|Romance,Renée Zellweger| Gemma Jones| Jim Broadbent|Sally Phillips,18+
182,The VVitch: A New-England Folktale,Horror|Mystery,Anya Taylor-Joy| Ralph Ineson| Kate Dickie| Julian Richings,18+
183,Cinderella,Drama|Family|Fantasy,Lily James| Cate Blanchett| Richard Madden|Helena Bonham Carter,18+
184,Realive,Sci-Fi,Tom Hughes| Charlotte Le Bon| Oona Chaplin| Barry Ward,18+
185,Forushande,Drama|Thriller,Taraneh Alidoosti| Shahab Hosseini| Babak Karimi|Farid Sajjadi Hosseini,13+
186,Love,Drama|Romance,Aomi Muyock| Karl Glusman| Klara Kristin| Juan Saavedra,13+
187,Billy Lynn's Long Halftime Walk,Drama|War,Joe Alwyn| Garrett Hedlund| Arturo Castro| Mason Lee,13+
188,Crimson Peak,Drama|Fantasy|Horror,Mia Wasikowska| Jessica Chastain| Tom Hiddleston| Charlie Hunnam,13+
189,Drive,Crime|Drama,Ryan Gosling| Carey Mulligan| Bryan Cranston| Albert Brooks,18+
190,Trainwreck,Comedy|Drama|Romance,Amy Schumer| Bill Hader| Brie Larson| Colin Quinn,13+
191,The Light Between Oceans,Drama|Romance,Michael Fassbender| Alicia Vikander| Rachel Weisz| Florence Clery,12+
192,Below Her Mouth,Drama,Erika Linder| Natalie Krill| Sebastian Pigott| Mayko Nguyen,12+
193,Spotlight,Crime|Drama|History,Mark Ruffalo| Michael Keaton| Rachel McAdams| Liev Schreiber,12+
194,Morgan,Horror|Sci-Fi|Thriller,Kate Mara| Anya Taylor-Joy| Rose Leslie| Michael Yare,12+
195,Warrior,Action|Drama|Sport,Tom Hardy| Nick Nolte| Joel Edgerton| Jennifer Morrison,12+
196,Captain America: The First Avenger,Action|Adventure|Sci-Fi,Chris Evans| Hugo Weaving| Samuel L. Jackson|Hayley Atwell,12+
197,Hacker,Crime|Drama|Thriller,Callan McAuliffe| Lorraine Nicholson| Daniel Eric Gold| Clifton Collins Jr.,12+
198,Into the Wild,Adventure|Biography|Drama,Emile Hirsch| Vince Vaughn| Catherine Keener| Marcia Gay Harden,12+
199,The Imitation Game,Biography|Drama|Thriller,Benedict Cumberbatch| Keira Knightley| Matthew Goode| Allen Leech,12+
200,Central Intelligence,Action|Comedy|Crime,Dwayne Johnson| Kevin Hart| Danielle Nicolet| Amy Ryan,12+
201,Edge of Tomorrow,Action|Adventure|Sci-Fi,Tom Cruise| Emily Blunt| Bill Paxton| Brendan Gleeson,15+
202,A Cure for Wellness,Drama|Fantasy|Horror,Dane DeHaan| Jason Isaacs| Mia Goth| Ivo Nandi,18+
203,Snowden,Biography|Drama|Thriller,Joseph Gordon-Levitt| Shailene Woodley| Melissa Leo|Zachary Quinto,18+
204,Iron Man,Action|Adventure|Sci-Fi,Robert Downey Jr.| Gwyneth Paltrow| Terrence Howard| Jeff Bridges,13+
205,Allegiant,Action|Adventure|Mystery,Shailene Woodley| Theo James| Jeff Daniels|Naomi Watts,13+
206,X: First Class,Action|Adventure|Sci-Fi,James McAvoy| Michael Fassbender| Jennifer Lawrence| Kevin Bacon,13+
207,Raw (II),Drama|Horror,Garance Marillier| Ella Rumpf| Rabah Nait Oufella|Laurent Lucas,13+
208,Paterson,Comedy|Drama|Romance,Adam Driver| Golshifteh Farahani| Nellie| Rizwan Manji,13+
209,Bridesmaids,Comedy|Romance,Kristen Wiig| Maya Rudolph| Rose Byrne| Terry Crews,13+
210,The Girl with All the Gifts,Drama|Horror|Thriller,Gemma Arterton| Glenn Close| Dominique Tipper|Paddy Considine,13+
211,San Andreas,Action|Adventure|Drama,Dwayne Johnson| Carla Gugino| Alexandra Daddario|Colton Haynes,13+
212,Spring Breakers,Drama,Vanessa Hudgens| Selena Gomez| Ashley Benson|Rachel Korine,13+
213,Transformers,Action|Adventure|Sci-Fi,Shia LaBeouf| Megan Fox| Josh Duhamel| Tyrese Gibson,17+
214,Old Boy,Action|Drama|Mystery,Josh Brolin| Elizabeth Olsen| Samuel L. Jackson| Sharlto Copley,13+
215,Thor: The Dark World,Action|Adventure|Fantasy,Chris Hemsworth| Natalie Portman| Tom Hiddleston|Stellan Skarsgård,13+
216,Gods of Egypt,Action|Adventure|Fantasy,Brenton Thwaites| Nikolaj Coster-Waldau| Gerard Butler| Chadwick Boseman,13+
217,Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,Chris Evans| Samuel L. Jackson|Scarlett Johansson| Robert Redford,13+
218,Monster Trucks,Action|Adventure|Comedy,Lucas Till| Jane Levy| Thomas Lennon| Barry Pepper,13+
219,A Dark Song,Drama|Horror,Mark Huberman| Susan Loughnane| Steve Oram|Catherine Walker,13+
220,Kick-Ass,Action|Comedy,Aaron Taylor-Johnson| Nicolas Cage| Chloë Grace Moretz| Garrett M. Brown,13+
221,Hardcore Henry,Action|Adventure|Sci-Fi,Sharlto Copley| Tim Roth| Haley Bennett| Danila Kozlovsky,17+
222,Cars,Animation|Adventure|Comedy,Owen Wilson| Bonnie Hunt| Paul Newman| Larry the Cable Guy,13+
223,It Follows,Horror|Mystery,Maika Monroe| Keir Gilchrist| Olivia Luccardi|Lili Sepe,13+
224,The Girl with the Dragon Tattoo,Crime|Drama|Mystery,Daniel Craig| Rooney Mara| Christopher Plummer|Stellan Skarsgård,13+
225,We're the Millers,Comedy|Crime,Jason Sudeikis| Jennifer Aniston| Emma Roberts| Ed Helms,13+
226,American Honey,Drama,Sasha Lane| Shia LaBeouf| Riley Keough| McCaul Lombardi,16+
227,The Lobster,Comedy|Drama|Romance,Colin Farrell| Rachel Weisz| Jessica Barden|Olivia Colman,16+
228,Predators,Action|Adventure|Sci-Fi,Adrien Brody| Laurence Fishburne| Topher Grace|Alice Braga,13+
229,Maleficent,Action|Adventure|Family,Angelina Jolie| Elle Fanning| Sharlto Copley|Lesley Manville,13+
230,Rupture,Horror|Sci-Fi|Thriller,Noomi Rapace| Michael Chiklis| Kerry Bishé|Peter Stormare,13+
231,Pan's Labyrinth,Drama|Fantasy|War,Ivana Baquero| Ariadna Gil| Sergi López|Maribel Verdú,13+
